1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0.087322834,0.057204724,0.079940945,0.057047244,0.027933072,0.054586613,0.054133858,0.049980314,0.091318897,0.066161417,0.071574803,0.056259842,0.084311024,0.041850394,0.048543308,0.070570865,0.084251968,0.044114174,0.043897638,0.038917324
0.135748032,0.118346457,0.140098423,0.104429133,0.103838585,0.126535432,0.114330709,0.116712598,0.12468504,0.132263779,0.128897637,0.104370079,0.116889764,0.100885827,0.107007874,0.120866141,0.129035433,0.099074803,0.108228347,0.121299211
0.007106297,-0.015629919,0.014822834,-0.027775592,-0.064783464,-0.025413389,-0.050551178,-0.031358265,0.023779527,-0.007185037,0.001259841,-0.022519686,0.016338581,-0.036811029,-0.029212599,-0.016830703,0.008444884,-0.020964562,-0.034232282,-0.040610231
0.186397635,0.169606299,0.166929136,0.166259844,0.160255905,0.16135827,0.158622047,0.168937007,0.165846453,0.169547246,0.165177165,0.160157482,0.157578742,0.150708662,0.150118111,0.170354333,0.165452754,0.155413387,0.154822834,0.152736221
0.158110236,0.175039366,0.166968503,0.167618113,0.16627953,0.175748033,0.182283465,0.165925199,0.159409444,0.181476375,0.18285433,0.159704727,0.17226378,0.183877952,0.162736221,0.173149604,0.179724408,0.163011814,0.16348425,0.174606304
0.065019685,0.078405512,0.082086614,0.031732283,0.071456691,0.086062993,0.071082677,0.067618111,0.076397639,0.066791338,0.072834647,0.065374016,0.068267718,0.083248032,0.069803149,0.075492126,0.069330709,0.06726378,0.060157478,0.074842521
0.180984253,0.15948819,0.157125984,0.153011814,0.145688977,0.145137794,0.147814959,0.158307087,0.160000001,0.16440945,0.149901576,0.150905512,0.156732285,0.139999998,0.136830709,0.155413384,0.158287401,0.152874015,0.154566928,0.141437009
0.1488189,0.126338581,0.141023625,0.118366142,0.11746063,0.129901572,0.122165354,0.127047243,0.140964568,0.144803149,0.144724407,0.119625983,0.121082678,0.110433072,0.119566929,0.141476378,0.134881891,0.115216536,0.120118109,0.126751971
0.047263779,0.035039369,0.072007875,-0.012224411,-0.020590549,0.044744095,0.009429132,0.013051183,0.048562991,0.043661417,0.041397637,0.01179134,0.047834648,0.021791338,0.012834643,0.035472438,0.056889765,0.023622047,0.011259845,0.017972441
0.135866141,0.129783464,0.128169291,0.12730315,0.124350394,0.142224409,0.137913389,0.119606302,0.138681102,0.154212601,0.15488189,0.130846455,0.130944883,0.13746063,0.131122048,0.142244095,0.146437009,0.119881891,0.132244097,0.145157484
0.089744096,0.086988188,0.107814961,0.0375,0.058464566,0.091417324,0.073641731,0.07242126,0.0932874,0.098996065,0.098996062,0.068051181,0.086889764,0.074685039,0.067913385,0.084763779,0.102047244,0.058681101,0.071181103,0.094586615
0.053582678,0.024822836,0.053858269,0.025137794,-0.013267716,0.027480313,0.015511813,0.023307087,0.061496064,0.036948819,0.043051181,0.027165355,0.062244094,0.013110236,0.018503938,0.036299212,0.051712599,0.020137794,0.008582678,0.005669292
-0.00214567,-0.021692918,0.009862205,-0.020472444,-0.064822828,-0.01984252,-0.052145669,-0.033543301,0.030629923,-0.007047244,-0.009724411,-0.021968507,0.010570866,-0.03586614,-0.030748029,-0.022913385,0.000295275,-0.03127953,-0.032696852,-0.042952752
0.116496063,0.126279528,0.135472442,0.106043309,0.122224411,0.133110236,0.120531495,0.123464566,0.128858268,0.11968504,0.116889765,0.118405511,0.121535433,0.128188976,0.12230315,0.121614173,0.124960629,0.116220473,0.111122048,0.10992126
0.128188976,0.106220473,0.108622047,0.104133857,0.084350394,0.093996063,0.089625985,0.11,0.120944881,0.110492125,0.104665355,0.10226378,0.105551182,0.079507874,0.088129922,0.109783465,0.108051181,0.083661416,0.0971063,0.088858268
0.135748032,0.157066927,0.147736223,0.134074802,0.145177163,0.157893701,0.163051177,0.146968504,0.142283464,0.160236223,0.161496061,0.137834645,0.153385829,0.166358264,0.136338583,0.144055119,0.151338585,0.140433073,0.139547247,0.149566928
0.145413384,0.162755902,0.15718504,0.147342519,0.149842521,0.162716535,0.163011814,0.158287405,0.15488189,0.149448819,0.158228349,0.145019685,0.150728346,0.164685039,0.149350395,0.160098425,0.157519686,0.146141734,0.149271653,0.15712598
